BlockSize,BlockName,Op,IOPS,BW_MBs,Avg_Lat_us,P99_Lat_us
65536,64KB,WRITE,2466.1,154.13,404.71,569.34
65536,64KB,READ,2018.833333,126.18,494.42,667.65
262144,256KB,WRITE,1604.183333,401.05,622.31,864.26
262144,256KB,READ,1253.55,313.39,796.59,1138.69
1048576,1MB,WRITE,655.633333,655.63,1523.72,1941.50
1048576,1MB,READ,408.966667,408.97,2443.13,4227.07
4194304,4MB,WRITE,259.75,1039.00,3847.17,6651.90
4194304,4MB,READ,163.533333,654.13,6111.82,11993.09
16777216,16MB,WRITE,65.2,1043.20,15329.91,21626.88
16777216,16MB,READ,38.733333,619.73,25805.13,50593.79
67108864,64MB,WRITE,17.325,1109.31,57660.18,87556.10
67108864,64MB,READ,10.125,648.53,98637.29,145752.06
268435456,256MB,WRITE,4.319328,1105.75,232823.43,425721.86
268435456,256MB,READ,2.581197,660.79,396897.09,960495.62
